feature,fill_median,mean,std
priceUSD,662.495,8197.992026703123,14590.26199003661
transactions,196285.0,170976.8443836865,121108.52057352505
size,603328.0,510364.9822278424,341681.42641728517
sentbyaddress,292748.0,260076.08999772157,189921.4854701508
difficulty,213398925331.0,5641314421240.647,8576981923281.43
hashrate,1.527744386008086e+18,4.093713788543472e+19,6.213700886617992e+19
mining_profitability,1.345,5406.144431351106,26100.60273291472
sentinusdUSD,1035302176.0,7566476433.382744,18824099962.182983
transactionfeesUSD,0.189,1.9311928768493252,5.156886514401593
median_transaction_feeUSD,0.0852,0.9386727889008886,2.6993366785681108
confirmationtime,9.474,9.522813397129186,1.3712971874629036
transactionvalueUSD,7272.0,84221.42974823422,207808.14207486698
mediantransactionvalueUSD,157.608,302.2100196035543,416.8645630845739
activeaddresses,425006.0,404699.30576441105,314372.02879926306
top100cap,19.119,19.48073957621326,4.590984633702124
fee_to_rewardUSD,1.091,3.041788205538293,4.87420288764919
