true_label,prob,pred,encrypt_time_ms,infer_time_ms
1,1.0,1,1.7329,3.2879
1,1.0,1,1.6013,2.9635
1,1.0,1,1.5817,3.0416
1,1.0,1,1.5024,2.9875
1,1.0,1,1.5847,3.0246
1,1.0,1,1.61,3.0282
1,1.0,1,1.6224,2.8666
1,1.0,1,1.5455,2.9159
1,1.0,1,1.5872,2.9576
1,1.0,1,1.5876,2.9775
1,1.0,1,1.5754,2.8979
1,1.0,1,1.6102,2.9608
1,1.0,1,1.6004,2.9951
1,1.0,1,1.587,3.0191
1,1.0,1,1.6073,3.009
1,1.0,1,1.6245,2.9978
1,1.0,1,1.6235,3.0085
1,1.0,1,1.622,2.9207
1,1.0,1,1.557,2.9873
1,1.0,1,1.6113,2.9724
1,1.0,1,1.6182,3.0125
1,1.0,1,1.521,3.1782
1,1.0,1,1.5143,2.972
1,1.0,1,1.5523,2.9826
1,1.0,1,1.5737,3.0655
1,1.0,1,1.5748,2.987
1,1.0,1,1.6396,3.0002
1,1.0,1,1.6122,2.9892
1,1.0,1,1.6245,2.8193
1,1.0,1,1.5747,2.9625
1,0.999999,1,1.5918,3.0031
1,0.999997,1,1.6036,3.0314
1,1.0,1,1.6302,3.0486
1,1.0,1,1.6345,3.009
1,1.0,1,1.6408,3.0138
1,1.0,1,1.6406,3.0106
1,1.0,1,1.633,3.0092
1,0.999997,1,1.644,3.0136
1,0.999999,1,1.6438,3.0218
1,1.0,1,1.5677,2.8222
1,1.0,1,1.5603,2.9218
1,1.0,1,1.5784,3.2142
1,1.0,1,1.5715,3.0495
1,1.0,1,1.5838,2.9835
1,1.0,1,1.5757,2.9849
1,1.0,1,1.6035,2.9958
1,1.0,1,1.622,2.9877
1,1.0,1,1.5893,2.9997
1,1.0,1,1.6166,2.9787
1,1.0,1,1.5868,2.9975
1,1.0,1,1.617,2.9934
1,1.0,1,1.6192,2.9923
1,1.0,1,1.5983,3.0195
1,1.0,1,1.6076,3.0049
1,1.0,1,1.5967,2.9862
1,1.0,1,1.6199,2.9973
1,1.0,1,1.6043,3.007
1,1.0,1,1.6554,3.0143
1,1.0,1,1.6061,2.997
1,1.0,1,1.6197,3.0153
1,1.0,1,1.6111,3.0047
1,1.0,1,1.5091,3.062
1,1.0,1,1.5458,3.0158
1,1.0,1,1.5598,2.9888
1,1.0,1,1.5778,3.023
1,1.0,1,1.6069,2.9983
1,1.0,1,1.6114,3.0145
1,1.0,1,1.5994,3.0012
1,1.0,1,1.5332,2.9033
1,1.0,1,1.551,2.9553
1,1.0,1,1.5809,2.9725
1,1.0,1,1.5861,2.9931
1,1.0,1,1.6003,3.0085
1,1.0,1,1.6106,2.9913
1,1.0,1,1.6102,3.062
1,1.0,1,1.6205,2.9934
1,1.0,1,1.6281,2.9941
1,1.0,1,1.6115,3.0773
1,1.0,1,1.6041,3.012
1,1.0,1,1.5288,2.9156
1,1.0,1,1.564,2.9618
1,1.0,1,1.5957,3.1425
1,1.0,1,1.5402,3.0185
1,1.0,1,1.5855,2.9828
1,1.0,1,1.6033,3.0071
1,1.0,1,1.6065,2.983
1,1.0,1,1.6235,2.8246
1,1.0,1,1.5817,2.9563
1,1.0,1,1.5902,2.9942
1,1.0,1,1.6136,3.0307
1,1.0,1,1.5022,2.9623
1,1.0,1,1.5708,2.9763
1,1.0,1,1.5878,3.0119
1,1.0,1,1.5984,3.0136
1,1.0,1,1.597,3.0243
1,1.0,1,1.612,2.9942
1,1.0,1,1.6078,2.9889
1,1.0,1,1.5863,2.8637
1,1.0,1,1.576,2.9645
1,1.0,1,1.5908,2.9747
